ID,POSTAL_CODE,BEDROOMS,LIVING_AREA,LAND,PRICE,POSTED,VIEWS,SAVES,TYPE,LOCATION,COMMUNE,G_LOCATION,G_LAT,G_LNG
7046810,1800,3,,188.0,349000,6/23/2017,236.0,0.0,House,Mechelsestraat  47 1800    Vilvoorde ,Vilvoorde,"Mechelsestraat 47, 1800 Vilvoorde, Belgium",50.9309263,4.4227313
7042828,1800,4,276.0,199.0,379000,6/21/2017,560.0,4.0,House,Nijverheidsstraat  115 1800    Vilvoorde ,Vilvoorde,"Nijverheidsstraat 115, 1800 Vilvoorde, Belgium",50.930396,4.4357275
7042474,1800,3,130.0,,249000,6/20/2017,167.0,0.0,Apartment,1800    Vilvoorde ,Vilvoorde,"1800, Belgium",50.9377435,4.4605278
7042470,1800,3,133.0,,239000,6/20/2017,156.0,0.0,Apartment,1800    Vilvoorde ,Vilvoorde,"1800, Belgium",50.9377435,4.4605278
7042469,1800,3,131.0,,265000,6/20/2017,149.0,0.0,Apartment,1800     Vilvoorde ,Vilvoorde,"1800, Belgium",50.9377435,4.4605278
7042186,1800,3,250.0,1235.0,385000,6/20/2017,679.0,4.0,Apartment,Groene  Grachtstraat    1800    Peutie ,Vilvoorde,"Groene Grachtstraat, 1800 Vilvoorde, Belgium",50.9307902,4.460981
7041827,1800,3,,776.0,345000,6/20/2017,1842.0,10.0,House,Haesendonckstraat  76 1800    Vilvoorde ,Vilvoorde,"Haesendonckstraat 76, 1800 Vilvoorde, Belgium",50.9509187,4.4669963
7039322,1800,3,165.0,227.0,349000,6/19/2017,1252.0,17.0,House,Mezenlaan  69 1800    Vilvoorde ,Vilvoorde,"Mezenlaan 69, 1800 Vilvoorde, Belgium",50.9114478,4.3784273
7039168,1800,4,250.0,85.0,318000,6/19/2017,1299.0,2.0,House,1800    Vilvoorde ,Vilvoorde,"1800, Belgium",50.9377435,4.4605278
7039161,1800,3,149.0,100.0,279000,6/19/2017,1058.0,2.0,House,1800    Vilvoorde ,Vilvoorde,"1800, Belgium",50.9377435,4.4605278
7039160,1800,3,110.0,267.0,249000,6/19/2017,3342.0,29.0,House,1800    Vilvoorde ,Vilvoorde,"1800, Belgium",50.9377435,4.4605278
7038509,1800,4,145.0,213.0,375000,6/18/2017,927.0,7.0,House,Mechelsesteenweg  306   1800    Vilvoorde ,Vilvoorde,"Mechelsesteenweg 306, 1800 Vilvoorde, Belgium",50.9360571,4.4295057
