ID,POSTAL_CODE,BEDROOMS,LIVING_AREA,LAND,PRICE,POSTED,VIEWS,SAVES,TYPE,LOCATION,COMMUNE
6894331,"1120",2,95,,210000,3/11/2017,,,"Apartment","Av  des  Croix  de  Guerre  321  box8 1120    NederoverHeembeek ","Neder-Over-Heembeek"
6893333,"1120",4,147,169,259000,3/10/2017,,,"House","1120    NederoverHeembeek ","Neder-Over-Heembeek"
6888936,"1120",4,235,356,420000,3/8/2017,226,3,"House","Hogeleeststraat  33 1120    NederoverHeembeek ","Neder-Over-Heembeek"
6887953,"1120",5,300,2800,500000,3/7/2017,,,"House","1120    neder  over  hembeek ","Neder-Over-Heembeek"
6884140,"1120",2,100,,240000,3/4/2017,289,3,"Apartment","1120    NederoverHeembeek ","Neder-Over-Heembeek"
6875061,"1120",3,188,238,349000,2/27/2017,1370,11,"House","Trassersweg  421 1120    NederoverHeembeek ","Neder-Over-Heembeek"
6873338,"1120",3,110,,239000,2/24/2017,,,"Apartment","1120    NederoverHeembeek ","Neder-Over-Heembeek"
6872615,"1120",5,170,181,399500,2/24/2017,165,1,"House","1120    NEDEROVERHEMBEEK ","Neder-Over-Heembeek"
6871881,"1120",2,107,,215000,2/23/2017,139,3,"Apartment","1120    NederoverHeembeek ","Neder-Over-Heembeek"
6868357,"1120",2,110,,310000,2/21/2017,386,3,"House","1120    NederoverHeembeek ","Neder-Over-Heembeek"
6867619,"1120",5,300,2800,500000,2/21/2017,279,3,"House","1120    NederoverHeembeek ","Neder-Over-Heembeek"
6866072,"1120",2,115,,245000,2/20/2017,,,"Apartment","RUE  DES  FAnes  25 1120    NederoverHeembeek ","Neder-Over-Heembeek"
6865752,"1120",2,83,,195000,2/20/2017,,,"Apartment","1120    NederoverHeembeek ","Neder-Over-Heembeek"
6863157,"1120",2,85,,179000,2/17/2017,548,2,"Apartment","1120    NederoverHeembeek ","Neder-Over-Heembeek"
6863062,"1120",2,90,,249000,2/17/2017,415,10,"House","1120    NederoverHeembeek ","Neder-Over-Heembeek"
6861879,"1120",4,270,98,630000,2/16/2017,186,1,"House","Heembeeksestraat  200 1120    NederoverHeembeek ","Neder-Over-Heembeek"
6860774,"1120",2,95,,178000,2/16/2017,311,1,"Apartment","Rue  des  Croix  de  Guerre  249 1120    NederoverHeembeek ","Neder-Over-Heembeek"
6860672,"1120",3,300,2800,500000,2/16/2017,162,2,"House","trassersweg  283 1120    NederoverHeembeek ","Neder-Over-Heembeek"
6860096,"1120",3,110,,239000,2/15/2017,189,6,"Apartment","1120    NederoverHeembeek ","Neder-Over-Heembeek"
6856911,"1120",6,235,292,399000,2/14/2017,1062,14,"House","Rue  Bruyn  42 1120    NederoverHeembeek ","Neder-Over-Heembeek"
6856237,"1120",2,85,,179000,2/13/2017,437,1,"Apartment","1120    NederoverHeembeek ","Neder-Over-Heembeek"
6852089,"1120",3,175,190,285000,2/9/2017,894,26,"House","rue  des  faines  126 1120    NederoverHeembeek ","Neder-Over-Heembeek"
6825028,"1120",4,155,217,330000,1/30/2017,947,10,"House","Rue  SaintNicolas  35 1120    NederoverHeembeek ","Neder-Over-Heembeek"
6817508,"1120",3,116,,259000,1/26/2017,436,4,"House","1120    NederoverHeembeek ","Neder-Over-Heembeek"
6812574,"1120",2,80,,169000,1/25/2017,232,2,"Apartment","Kraatveldstraat  135 1120    NederoverHeembeek ","Neder-Over-Heembeek"
6790944,"1120",3,100,,240000,1/12/2017,69,0,"Apartment","Heembeeksestraat  178 1120     NederoverHeembeek ","Neder-Over-Heembeek"
6788852,"1120",3,125,,269000,1/11/2017,113,1,"Apartment","place  peter  benoit  15i  box6 1120    NederoverHeembeek ","Neder-Over-Heembeek"
